"Order","FOO"
"Lepidoptera",100
"Araneae",98.9
"Diptera",94.3
"Hemiptera",62.1
"Hymenoptera",44.8
"Psocodea",34.5
"Coleoptera",28.7
"Plecoptera",17.2
"Neuroptera",4.6
"Sarcoptiformes",4.6
"Entomobryomorpha",3.4
"Trombidiformes",3.4
"Opiliones",2.3
"Poduromorpha",2.3
"Blattodea",1.1
"Julida",1.1
"Mesostigmata",1.1
